"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","test_part","next_elem","responses","question_order"
"7631.315000005998","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","0","html-button-response","0","7636","0.0-0.0","","","","",""
"1341.8300000485033","<p>This session will last for 15min.</p><p> In each trial, you will see some symbols appearing one-by-one </p><p> and you will be asked to stop the sequence whenever you can answer some questions (more on this later). </p><p> Each sequence is independent from one another. </p><p> You will be paid extra based on the overall number of correct responses you give. </p><p> <br /> We will try this on some examples before we move on to the actual experiment: </p>","0","html-button-response","1","8979","0.0-1.0","","","","",""
"2361.7450000019744","Some sequences will be highly predictable, like these:","0","html-button-response","2","12346","0.0-2.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","3","14160","0.0-3.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","4","15269","0.0-3.0-0.0-0.1","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","5","16381","0.0-3.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","6","17487","0.0-3.0-0.0-0.3","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","7","18592","0.0-3.0-0.0-0.4","null","training","C","",""
"322.6250000298023","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","8","19217","0.0-3.0-0.0-0.5","32","training","A","",""
"null","","","html-keyboard-response","9","19527","0.0-3.0-0.0-0.6","null","training","B","",""
"3167.829999991227","","","survey-likert","10","22697","0.0-3.0-1.0","","","","{""Q0"":9}","[0]"
"8041.525000007823","","","survey-multi-choice","11","30740","0.0-3.0-2.0","","","","{""Q0"":""A""}","[0]"
"1449.930000002496","Correct! + $1","0","html-button-response","12","32192","0.0-3.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","13","32996","0.0-4.0-0.0-0.0","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","14","34098","0.0-4.0-0.0-0.1","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","15","35207","0.0-4.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","16","36318","0.0-4.0-0.0-0.3","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","17","37423","0.0-4.0-0.0-0.4","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","18","38529","0.0-4.0-0.0-0.5","null","training","A","",""
"253.00000002607703","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","19","39087","0.0-4.0-0.0-0.6","32","training","A","",""
"null","","","html-keyboard-response","20","39394","0.0-4.0-0.0-0.7","null","training","A","",""
"2381.085000000894","","","survey-likert","21","41777","0.0-4.0-1.0","","","","{""Q0"":9}","[0]"
"3544.2150000017136","","","survey-multi-choice","22","45323","0.0-4.0-2.0","","","","{""Q0"":""A""}","[0]"
"1044.9299999745563","Correct! + $1","0","html-button-response","23","46370","0.0-4.0-3.0","","","","",""
"2060.4150000144728","<p> Some sequences may be completely random, like this one: </p>","0","html-button-response","24","48432","0.0-5.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","25","49235","0.0-6.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","26","50343","0.0-6.0-0.0-0.1","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","27","51448","0.0-6.0-0.0-0.2","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","28","52554","0.0-6.0-0.0-0.3","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","29","53663","0.0-6.0-0.0-0.4","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","30","54770","0.0-6.0-0.0-0.5","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","31","55877","0.0-6.0-0.0-0.6","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","32","56979","0.0-6.0-0.0-0.7","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","33","58088","0.0-6.0-0.0-0.8","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","34","59197","0.0-6.0-0.0-0.9","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","35","60301","0.0-6.0-0.0-0.10","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","36","61409","0.0-6.0-0.0-0.11","null","training","C","",""
"623.7299999920651","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","37","62336","0.0-6.0-0.0-0.12","32","training","B","",""
"null","","","html-keyboard-response","38","62641","0.0-6.0-0.0-0.13","null","training","A","",""
"6296.489999978803","","","survey-likert","39","68938","0.0-6.0-1.0","","","","{""Q0"":0}","[0]"
"2366.619999986142","","","survey-multi-choice","40","71307","0.0-6.0-2.0","","","","{""Q0"":""I do not know""}","[0]"
"1119.8350000195205","Okay, let's move to the next trial","0","html-button-response","41","72429","0.0-6.0-3.0","","","","",""
"2881.5449999528937","<p> You are now ready to proceed with the actual experiment. </p><p>Some sequences will be random, some will not, and others will be somewhere inbetween </p>","0","html-button-response","42","75311","0.0-7.0","","","","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","43","76117","0.0-8.0-0.0-0.0","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","44","77222","0.0-8.0-0.0-0.1","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","45","78326","0.0-8.0-0.0-0.2","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","46","79437","0.0-8.0-0.0-0.3","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","47","80543","0.0-8.0-0.0-0.4","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","48","81652","0.0-8.0-0.0-0.5","null","test","C","",""
"341.8999999994412","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","49","82298","0.0-8.0-0.0-0.6","32","test","C","",""
"null","","","html-keyboard-response","50","82602","0.0-8.0-0.0-0.7","null","test","C","",""
"2419.880000001285","","","survey-likert","51","85024","0.0-8.0-1.0","","","","{""Q0"":9}","[0]"
"2356.8499999819323","","","survey-multi-choice","52","87382","0.0-8.0-2.0","","","","{""Q0"":""C""}","[0]"
"1005.6900000199676","Correct! + $1","0","html-button-response","53","88390","0.0-8.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","54","89192","0.0-9.0-0.0-0.0","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","55","90302","0.0-9.0-0.0-0.1","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","56","91409","0.0-9.0-0.0-0.2","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","57","92513","0.0-9.0-0.0-0.3","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","58","93616","0.0-9.0-0.0-0.4","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","59","94727","0.0-9.0-0.0-0.5","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","60","95833","0.0-9.0-0.0-0.6","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","61","96935","0.0-9.0-0.0-0.7","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","62","98046","0.0-9.0-0.0-0.8","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","63","99151","0.0-9.0-0.0-0.9","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","64","100260","0.0-9.0-0.0-0.10","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","65","101363","0.0-9.0-0.0-0.11","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","66","102468","0.0-9.0-0.0-0.12","null","test","A","",""
