"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","responses","question_order"
"8817","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","32","html-keyboard-response","0","8823","0.0-0.0","","",""
"19601","<p>This session will last for 10min.</p><p> In each trial, you will see a sequence consisting A's, B's and/or C's. </p> <p> After seeing the sequence, press any key, and you will be asked </p> <p> to judge how likely it is that the sequence came from a random process. </p><p> Each sequence is independent from one another. </p>","32","html-keyboard-response","1","28426","0.0-1.0","","",""
"10996","<div style=""font-size:45px;"">C  A  C  C  A  C  C  A  C  C                              </div>","32","html-keyboard-response","2","40424","0.0-2.0-0.0","test","",""
"21174","","","survey-likert","3","62102","0.0-2.0-1.0","","{""Q0"":2}","[0]"
"3733.9999999999927","<div style=""font-size:45px;"">B  A  C  A                                                </div>","32","html-keyboard-response","4","65837","0.0-2.0-0.1","test","",""
"4217","","","survey-likert","5","70557","0.0-2.0-1.1","","{""Q0"":8}","[0]"
"8410","<div style=""font-size:45px;"">A  B  B  A  A  B  B  C                                    </div>","32","html-keyboard-response","6","78970","0.0-2.0-0.2","test","",""
"3553.0000000000146","","","survey-likert","7","83027","0.0-2.0-1.2","","{""Q0"":5}","[0]"
"8620.999999999985","<div style=""font-size:45px;"">C  A  A  B  C  A  A  A  C  B  B  B  A  B  C  A            </div>","32","html-keyboard-response","8","91649","0.0-2.0-0.3","test","",""
"4906","","","survey-likert","9","97058","0.0-2.0-1.3","","{""Q0"":5}","[0]"
"2124","<div style=""font-size:45px;"">C  C  B  C                                                </div>","32","html-keyboard-response","10","99185","0.0-2.0-0.4","test","",""
"12420","","","survey-likert","11","112108","0.0-2.0-1.4","","{""Q0"":2}","[0]"
"3725","<div style=""font-size:45px;"">C  C  C  C  C  A  A  A  A  A  A  A  A  A                  </div>","32","html-keyboard-response","12","115836","0.0-2.0-0.5","test","",""
"2543.0000000000146","","","survey-likert","13","118881","0.0-2.0-1.5","","{""Q0"":2}","[0]"
"7616.999999999985","<div style=""font-size:45px;"">C  A  B  B  B  B  C  C  C  C  C  C  C  C  C  C            </div>","32","html-keyboard-response","14","126500","0.0-2.0-0.6","test","",""
"3373.0000000000146","","","survey-likert","15","130375","0.0-2.0-1.6","","{""Q0"":8}","[0]"
"14324.000000000015","<div style=""font-size:45px;"">A  A  A  A  B  B  B  B  B  B  B  C  C  C  A  A  A  A  A  A</div>","32","html-keyboard-response","16","144702","0.0-2.0-0.7","test","",""
"3708.999999999971","","","survey-likert","17","148914","0.0-2.0-1.7","","{""Q0"":4}","[0]"
"5762","<div style=""font-size:45px;"">A  A  B  A  A  B  A  A  B  A  A  B  A  A                  </div>","32","html-keyboard-response","18","154678","0.0-2.0-0.8","test","",""
"3224","","","survey-likert","19","158405","0.0-2.0-1.8","","{""Q0"":0}","[0]"
"1655","<div style=""font-size:45px;"">B  C  A  A  A  B                                          </div>","32","html-keyboard-response","20","160064","0.0-2.0-0.9","test","",""
"2519.000000000029","","","survey-likert","21","163086","0.0-2.0-1.9","","{""Q0"":7}","[0]"
"1661","<div style=""font-size:45px;"">B  C  C  B  C  C  B  C  C  B  C  C                        </div>","32","html-keyboard-response","22","164749","0.0-2.0-0.10","test","",""
"1596.000000000029","","","survey-likert","23","166848","0.0-2.0-1.10","","{""Q0"":0}","[0]"
"1991","<div style=""font-size:45px;"">A  C  A  B                                                </div>","32","html-keyboard-response","24","168841","0.0-2.0-0.11","test","",""
"1842.999999999971","","","survey-likert","25","171185","0.0-2.0-1.11","","{""Q0"":8}","[0]"
"883","<div style=""font-size:45px;"">A  A  B  A                                                </div>","32","html-keyboard-response","26","172072","0.0-2.0-0.12","test","",""
"5733.999999999971","","","survey-likert","27","178308","0.0-2.0-1.12","","{""Q0"":4}","[0]"
"1832","<div style=""font-size:45px;"">C  A  C  C  A  B  B  B  B  B                              </div>","32","html-keyboard-response","28","180144","0.0-2.0-0.13","test","",""
"3077","","","survey-likert","29","183724","0.0-2.0-1.13","","{""Q0"":6}","[0]"
"4068","<div style=""font-size:45px;"">A  B  A  A  B  A  A  A  A  A  A  A  A  A  A  C  C  C      </div>","32","html-keyboard-response","30","187794","0.0-2.0-0.14","test","",""
"3703","","","survey-likert","31","191999","0.0-2.0-1.14","","{""Q0"":8}","[0]"
"10255","<div style=""font-size:45px;"">C  A  C  A  C  A  C  A  C  A  C  A  C  A  B  B  B  B      </div>","32","html-keyboard-response","32","202257","0.0-2.0-0.15","test","",""
"5334.999999999971","","","survey-likert","33","208095","0.0-2.0-1.15","","{""Q0"":7}","[0]"
"5771","<div style=""font-size:45px;"">C  A  A  B  A  B  B  B  B  A  A  A  A  B  C  C  B  B  B  B</div>","32","html-keyboard-response","34","213869","0.0-2.0-0.16","test","",""
"2685","","","survey-likert","35","217056","0.0-2.0-1.16","","{""Q0"":7}","[0]"
"10064","<div style=""font-size:45px;"">A  B  C  B  C  A  C  C  C  B  A  A  B  A  C  C            </div>","32","html-keyboard-response","36","227123","0.0-2.0-0.17","test","",""
"2121","","","survey-likert","37","229746","0.0-2.0-1.17","","{""Q0"":7}","[0]"
"2688","<div style=""font-size:45px;"">C  C  A  B  A  A  A  A  C  B  B  B  B  B  B  B  B  A      </div>","32","html-keyboard-response","38","232436","0.0-2.0-0.18","test","",""
"1907","","","survey-likert","39","234846","0.0-2.0-1.18","","{""Q0"":7}","[0]"
"6299","<div style=""font-size:45px;"">A  C  C  C  C  B  B  B  B  B  B  B  B  C  C  C  C  C  B  B</div>","32","html-keyboard-response","40","241147","0.0-2.0-0.19","test","",""
"1722","","","survey-likert","41","243372","0.0-2.0-1.19","","{""Q0"":7}","[0]"
"935.9999999999709","<div style=""font-size:45px;"">B  C  B  C                                                </div>","32","html-keyboard-response","42","244310","0.0-2.0-0.20","test","",""
