"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","responses","question_order"
"2920","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","32","html-keyboard-response","0","2922","0.0-0.0","","",""
"31551","<p>This session will last for 10min.</p><p> In each trial, you will see a sequence of letters. </p><p> After seeing the sequence, press any key, </p> <p> and you will be asked to rate how random or predictable you find the </p><p> sequence on a scale from 1 to 10. </p><p> Each sequence is independent from one another. </p>","32","html-keyboard-response","1","34476","0.0-1.0","","",""
"466751","<div style=""font-size:45px;"">A  B  B  A  A  A  B  C  A  C  A  C  C  A  B  A  A  A  B  A</div>","32","html-keyboard-response","2","1676429","0.0-2.0-0.0","test","",""
"2497","","","survey-likert","3","1679430","0.0-2.0-1.0","","{""Q0"":5}","[0]"
"1783.9999999999418","<div style=""font-size:45px;"">A  A  A  A  A  A  A  A  B  B  B  B                        </div>","32","html-keyboard-response","4","1681216","0.0-2.0-0.1","test","",""
"4552.999999999942","","","survey-likert","5","1686270","0.0-2.0-1.1","","{""Q0"":4}","[0]"
"1236.0000000001164","<div style=""font-size:45px;"">A  A  C  B  C  C  C  C  C  C  B  B  B  B  B  B            </div>","32","html-keyboard-response","6","1687510","0.0-2.0-0.2","test","",""
"2452.999999999942","","","survey-likert","7","1690465","0.0-2.0-1.2","","{""Q0"":5}","[0]"
"748.9999999998836","<div style=""font-size:45px;"">C  C  C  C                                                </div>","32","html-keyboard-response","8","1691216","0.0-2.0-0.3","test","",""
"1638","","","survey-likert","9","1693356","0.0-2.0-1.3","","{""Q0"":9}","[0]"
"777.0000000000582","<div style=""font-size:45px;"">C  C  C  C  C  C  C  C  C  C                              </div>","32","html-keyboard-response","10","1694135","0.0-2.0-0.4","test","",""
"1977.9999999999418","","","survey-likert","11","1696615","0.0-2.0-1.4","","{""Q0"":9}","[0]"
"1049.9999999999418","<div style=""font-size:45px;"">B  B  C  C  C  C  C  A  B  B  B  B  B  B                  </div>","32","html-keyboard-response","12","1697667","0.0-2.0-0.5","test","",""
"3196.999999999942","","","survey-likert","13","1701366","0.0-2.0-1.5","","{""Q0"":4}","[0]"
"4145","<div style=""font-size:45px;"">C  A  C  B  A  B  A  B  C  C  A  A  A  A  A  B            </div>","32","html-keyboard-response","14","1705513","0.0-2.0-0.6","test","",""
