"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","test_part","next_elem","responses","question_order"
"33417","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","0","html-button-response","0","33421","0.0-0.0","","","","",""
"14761","<p>This session will last for 15min.</p><p> In each trial, you will see some symbols appearing one-by-one </p><p> and you will be asked to stop the sequence whenever you can answer some questions (more on this later). </p><p> Each sequence is independent from one another. </p><p> You will be paid extra based on the overall number of correct responses you give. </p><p> <br /> We will try this on some examples before we move on to the actual experiment: </p>","0","html-button-response","1","48184","0.0-1.0","","","","",""
"1566","Some sequences will be highly predictable, like these:","0","html-button-response","2","50752","0.0-2.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","3","52557","0.0-3.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","4","53659","0.0-3.0-0.0-0.1","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","5","54761","0.0-3.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","6","55863","0.0-3.0-0.0-0.3","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","7","56966","0.0-3.0-0.0-0.4","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","8","58068","0.0-3.0-0.0-0.5","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","9","59171","0.0-3.0-0.0-0.6","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","10","60273","0.0-3.0-0.0-0.7","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","11","61375","0.0-3.0-0.0-0.8","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","12","62478","0.0-3.0-0.0-0.9","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","13","63581","0.0-3.0-0.0-0.10","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","14","64682","0.0-3.0-0.0-0.11","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","15","65784","0.0-3.0-0.0-0.12","null","training","B","",""
"613","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","16","66698","0.0-3.0-0.0-0.13","39","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","17","67800","0.0-3.0-0.0-0.14","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","18","68901","0.0-3.0-0.0-0.15","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","19","70003","0.0-3.0-0.0-0.16","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","20","71104","0.0-3.0-0.0-0.17","null","training","A","",""
"474","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","21","71880","0.0-3.0-0.0-0.18","32","training","B","",""
"null","","","html-keyboard-response","22","72183","0.0-3.0-0.0-0.19","null","training","C","",""
"5958","","","survey-likert","23","78143","0.0-3.0-1.0","","","","{""Q0"":9}","[0]"
"9610","","","survey-multi-choice","24","87756","0.0-3.0-2.0","","","","{""Q0"":""I do not know""}","[0]"
"1345.9999999999854","Okay, let's move to the next trial","0","html-button-response","25","89103","0.0-3.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","26","89904","0.0-4.0-0.0-0.0","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","27","91006","0.0-4.0-0.0-0.1","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","28","92109","0.0-4.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","29","93211","0.0-4.0-0.0-0.3","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","30","94314","0.0-4.0-0.0-0.4","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","31","95417","0.0-4.0-0.0-0.5","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","32","96519","0.0-4.0-0.0-0.6","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","33","97622","0.0-4.0-0.0-0.7","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","34","98724","0.0-4.0-0.0-0.8","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","35","99827","0.0-4.0-0.0-0.9","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","36","100928","0.0-4.0-0.0-0.10","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","37","102030","0.0-4.0-0.0-0.11","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","38","103132","0.0-4.0-0.0-0.12","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","39","104233","0.0-4.0-0.0-0.13","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","40","105336","0.0-4.0-0.0-0.14","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","41","106437","0.0-4.0-0.0-0.15","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","42","107539","0.0-4.0-0.0-0.16","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","43","108641","0.0-4.0-0.0-0.17","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","44","109742","0.0-4.0-0.0-0.18","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","45","110844","0.0-4.0-0.0-0.19","null","training","A","",""
"244","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","46","111389","0.0-4.0-0.0-0.20","32","training","A","",""
"null","","","html-keyboard-response","47","111692","0.0-4.0-0.0-0.21","null","training","A","",""
"3216","","","survey-likert","48","114909","0.0-4.0-1.0","","","","{""Q0"":9}","[0]"
"7839.999999999985","","","survey-multi-choice","49","122750","0.0-4.0-2.0","","","","{""Q0"":""A""}","[0]"
"1693","Correct! + $1","0","html-button-response","50","124444","0.0-4.0-3.0","","","","",""
"2464","<p> Some sequences may be completely random, like this one: </p>","0","html-button-response","51","126909","0.0-5.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","52","127711","0.0-6.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","53","128813","0.0-6.0-0.0-0.1","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","54","129914","0.0-6.0-0.0-0.2","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","55","131015","0.0-6.0-0.0-0.3","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","56","132117","0.0-6.0-0.0-0.4","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","57","133219","0.0-6.0-0.0-0.5","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","58","134320","0.0-6.0-0.0-0.6","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","59","135422","0.0-6.0-0.0-0.7","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","60","136524","0.0-6.0-0.0-0.8","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","61","137625","0.0-6.0-0.0-0.9","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","62","138727","0.0-6.0-0.0-0.10","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","63","139828","0.0-6.0-0.0-0.11","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","64","140932","0.0-6.0-0.0-0.12","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","65","142033","0.0-6.0-0.0-0.13","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","66","143136","0.0-6.0-0.0-0.14","null","training","A ","",""
"null","<div style=""font-size:65px;"">A   </div>","","html-keyboard-response","67","144237","0.0-6.0-0.0-0.15","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","68","145339","0.0-6.0-0.0-0.16","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","69","146441","0.0-6.0-0.0-0.17","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","70","147544","0.0-6.0-0.0-0.18","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","71","148645","0.0-6.0-0.0-0.19","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","72","149746","0.0-6.0-0.0-0.20","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","73","150849","0.0-6.0-0.0-0.21","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","74","151950","0.0-6.0-0.0-0.22","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","75","153052","0.0-6.0-0.0-0.23","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","76","154154","0.0-6.0-0.0-0.24","null","training","C","",""
"626","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","77","155081","0.0-6.0-0.0-0.25","32","training","B","",""
"null","","","html-keyboard-response","78","155384","0.0-6.0-0.0-0.26","null","training","C","",""
"10045","","","survey-likert","79","165431","0.0-6.0-1.0","","","","{""Q0"":0}","[0]"
"16651","","","survey-multi-choice","80","182083","0.0-6.0-2.0","","","","{""Q0"":""B""}","[0]"
"2012","Correct! + $1","0","html-button-response","81","184096","0.0-6.0-3.0","","","","",""
"6450","<p> You are now ready to proceed with the actual experiment. </p><p>Some sequences will be random, some will not, and others will be somewhere inbetween </p>","0","html-button-response","82","190546","0.0-7.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","83","191348","0.0-8.0-0.0-0.0","null","test","B","",""
