"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","responses","question_order"
"11994","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","32","html-keyboard-response","0","12000","0.0-0.0","","",""
"595","<p>This session will last for 10min.</p><p> In each trial, you will see a sequence consisting A's, B's and/or C's. </p> <p> After seeing the sequence, press any key, and you will be asked </p> <p> to judge how likely it is that the sequence came from a random process. </p><p> Each sequence is independent from one another. </p>","32","html-keyboard-response","1","12595","0.0-1.0","","",""
"3630","<div style=""font-size:45px;"">B  A  A  A  A  A  A  B  B  B  B  C                        </div>","32","html-keyboard-response","2","17227","0.0-2.0-0.0","test","",""
"1586","","","survey-likert","3","19317","0.0-2.0-1.0","","{""Q0"":2}","[0]"
"1138","<div style=""font-size:45px;"">A  C  C  C  C  B  B  B  B  B  B  B  B  C  C  C  C  C  B  B</div>","32","html-keyboard-response","4","20457","0.0-2.0-0.1","test","",""
"1086","","","survey-likert","5","22046","0.0-2.0-1.1","","{""Q0"":1}","[0]"
"3160","<div style=""font-size:45px;"">C  B  A  C  B  C  C  B  C  B  C  B  C  B  C  C  A  C  B  A</div>","32","html-keyboard-response","6","25207","0.0-2.0-0.2","test","",""
"1698","","","survey-likert","7","27408","0.0-2.0-1.2","","{""Q0"":1}","[0]"
"1576","<div style=""font-size:45px;"">A  B  C  A  A  B  C  C  C  C                              </div>","32","html-keyboard-response","8","28986","0.0-2.0-0.3","test","",""
"1929","","","survey-likert","9","31419","0.0-2.0-1.3","","{""Q0"":2}","[0]"
"583.9999999999964","<div style=""font-size:45px;"">C  A  A  C  A  A  A  B  A  C                              </div>","32","html-keyboard-response","10","32005","0.0-2.0-0.4","test","",""
"1122.0000000000036","","","survey-likert","11","33630","0.0-2.0-1.4","","{""Q0"":4}","[0]"
"586","<div style=""font-size:45px;"">C  A  B  B  B  B  C  C  C  C  C  C  C  C  C  C            </div>","32","html-keyboard-response","12","34217","0.0-2.0-0.5","test","",""
"1607","","","survey-likert","13","36325","0.0-2.0-1.5","","{""Q0"":2}","[0]"
"587","<div style=""font-size:45px;"">B  C  A  A  C  A  B  A                                    </div>","32","html-keyboard-response","14","36916","0.0-2.0-0.6","test","",""
"1679","","","survey-likert","15","39098","0.0-2.0-1.6","","{""Q0"":4}","[0]"
"443.9999999999927","<div style=""font-size:45px;"">B  B  B  B                                                </div>","32","html-keyboard-response","16","39544","0.0-2.0-0.7","test","",""
"1105","","","survey-likert","17","41151","0.0-2.0-1.7","","{""Q0"":5}","[0]"
"1026.0000000000073","<div style=""font-size:45px;"">C  A  C  C  A  B  B  B  B  B                              </div>","32","html-keyboard-response","18","42179","0.0-2.0-0.8","test","",""
"1339","","","survey-likert","19","44021","0.0-2.0-1.8","","{""Q0"":3}","[0]"
"2072","<div style=""font-size:45px;"">C  C  B  C  C  B  C  C  B  C  C  B  C  C  B  C            </div>","32","html-keyboard-response","20","46094","0.0-2.0-0.9","test","",""
"1291","","","survey-likert","21","47888","0.0-2.0-1.9","","{""Q0"":0}","[0]"
"594","<div style=""font-size:45px;"">C  C  C  C  C  C  C  C  C  C  C  C                        </div>","32","html-keyboard-response","22","48483","0.0-2.0-0.10","test","",""
"2091","","","survey-likert","23","51076","0.0-2.0-1.10","","{""Q0"":0}","[0]"
"3473.0000000000073","<div style=""font-size:45px;"">B  B  B  A  C  C  B  B  C  A  B  C  B  C                  </div>","32","html-keyboard-response","24","54552","0.0-2.0-0.11","test","",""
"1400","","","survey-likert","25","56454","0.0-2.0-1.11","","{""Q0"":2}","[0]"
"485","<div style=""font-size:45px;"">B  C  C  B  C  C                                          </div>","32","html-keyboard-response","26","56940","0.0-2.0-0.12","test","",""
"2408","","","survey-likert","27","59850","0.0-2.0-1.12","","{""Q0"":2}","[0]"
"3026.0000000000073","<div style=""font-size:45px;"">A  B  A  A  B  A  A  B                                    </div>","32","html-keyboard-response","28","62878","0.0-2.0-0.13","test","",""
"1734.9999999999927","","","survey-likert","29","65116","0.0-2.0-1.13","","{""Q0"":1}","[0]"
"1519.9999999999927","<div style=""font-size:45px;"">A  A  A  A  B  B  B  B  B  B  B  C  C  C  A  A  A  A  A  A</div>","32","html-keyboard-response","30","66639","0.0-2.0-0.14","test","",""
"1252","","","survey-likert","31","68393","0.0-2.0-1.14","","{""Q0"":2}","[0]"
"469.99999999998545","<div style=""font-size:45px;"">A  A  A  A  B  A                                          </div>","32","html-keyboard-response","32","68865","0.0-2.0-0.15","test","",""
"2077","","","survey-likert","33","71445","0.0-2.0-1.15","","{""Q0"":1}","[0]"
"1546","<div style=""font-size:45px;"">A  B  B  A  A  B  B  C                                    </div>","32","html-keyboard-response","34","72993","0.0-2.0-0.16","test","",""
"2010","","","survey-likert","35","75505","0.0-2.0-1.16","","{""Q0"":3}","[0]"
"659.0000000000146","<div style=""font-size:45px;"">A  C  A  A  A  B  C  B                                    </div>","32","html-keyboard-response","36","76167","0.0-2.0-0.17","test","",""
"1153","","","survey-likert","37","77822","0.0-2.0-1.17","","{""Q0"":4}","[0]"
"571","<div style=""font-size:45px;"">B  B  B  B  B  B                                          </div>","32","html-keyboard-response","38","78395","0.0-2.0-0.18","test","",""
"1762.9999999999854","","","survey-likert","39","80658","0.0-2.0-1.18","","{""Q0"":2}","[0]"
"458","<div style=""font-size:45px;"">B  B  B  B  B  C                                          </div>","32","html-keyboard-response","40","81118","0.0-2.0-0.19","test","",""
"1299.0000000000146","","","survey-likert","41","82920","0.0-2.0-1.19","","{""Q0"":3}","[0]"
"923","<div style=""font-size:45px;"">B  A  B  C  B  B  C  C  A  C  C  A  A  C  A  C  B  C      </div>","32","html-keyboard-response","42","83845","0.0-2.0-0.20","test","",""
"3591","","","survey-likert","43","87938","0.0-2.0-1.20","","{""Q0"":7}","[0]"
"1194","<div style=""font-size:45px;"">A  B  C  A  B  C  B  C  B  A  C  C  B  A                  </div>","32","html-keyboard-response","44","89134","0.0-2.0-0.21","test","",""
"2881","","","survey-likert","45","92517","0.0-2.0-1.21","","{""Q0"":7}","[0]"
"1874.0000000000146","<div style=""font-size:45px;"">A  C  C  C  C  B  A  A  A  A  A  A                        </div>","32","html-keyboard-response","46","94393","0.0-2.0-0.22","test","",""
"1418","","","survey-likert","47","96312","0.0-2.0-1.22","","{""Q0"":2}","[0]"
"940","<div style=""font-size:45px;"">B  B  B  B  B  B  B  B  B  B  B  B  B  C  C  C  C  C      </div>","32","html-keyboard-response","48","97253","0.0-2.0-0.23","test","",""
"1768.0000000000146","","","survey-likert","49","99525","0.0-2.0-1.23","","{""Q0"":1}","[0]"
"627","<div style=""font-size:45px;"">B  A  B  A  B  A  B  A  A  A                              </div>","32","html-keyboard-response","50","100153","0.0-2.0-0.24","test","",""
"1378.9999999999854","","","survey-likert","51","102034","0.0-2.0-1.24","","{""Q0"":2}","[0]"
"1073.9999999999854","<div style=""font-size:45px;"">C  B  B  C  B  B  B  B  B  B  B  B  B  B  B  C            </div>","32","html-keyboard-response","52","103110","0.0-2.0-0.25","test","",""
"1411","","","survey-likert","53","105023","0.0-2.0-1.25","","{""Q0"":2}","[0]"
"486","<div style=""font-size:45px;"">B  A  C  A                                                </div>","32","html-keyboard-response","54","105511","0.0-2.0-0.26","test","",""
"2503","","","survey-likert","55","108516","0.0-2.0-1.26","","{""Q0"":7}","[0]"
