"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","test_part","next_elem","responses","question_order"
"15774","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","0","html-button-response","0","15777","0.0-0.0","","","","",""
"29555","<p>This session will last for 15min.</p><p> In each trial, you will see some symbols appearing one-by-one </p><p> and you will be asked to stop the sequence whenever you can answer some questions (more on this later). </p><p> Each sequence is independent from one another. </p><p> You will be paid extra based on the overall number of correct responses you give. </p><p> <br /> We will try this on some examples before we move on to the actual experiment: </p>","0","html-button-response","1","45333","0.0-1.0","","","","",""
"2648","Some sequences will be highly predictable, like these:","0","html-button-response","2","48983","0.0-2.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","3","50786","0.0-3.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","4","51889","0.0-3.0-0.0-0.1","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","5","52991","0.0-3.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","6","54093","0.0-3.0-0.0-0.3","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","7","55195","0.0-3.0-0.0-0.4","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","8","56297","0.0-3.0-0.0-0.5","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","9","57400","0.0-3.0-0.0-0.6","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","10","58503","0.0-3.0-0.0-0.7","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","11","59605","0.0-3.0-0.0-0.8","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","12","60708","0.0-3.0-0.0-0.9","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","13","61810","0.0-3.0-0.0-0.10","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","14","62911","0.0-3.0-0.0-0.11","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","15","64013","0.0-3.0-0.0-0.12","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","16","65114","0.0-3.0-0.0-0.13","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","17","66217","0.0-3.0-0.0-0.14","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","18","67320","0.0-3.0-0.0-0.15","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","19","68421","0.0-3.0-0.0-0.16","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","20","69523","0.0-3.0-0.0-0.17","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","21","70625","0.0-3.0-0.0-0.18","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","22","71728","0.0-3.0-0.0-0.19","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","23","72830","0.0-3.0-0.0-0.20","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","24","73934","0.0-3.0-0.0-0.21","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","25","75036","0.0-3.0-0.0-0.22","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","26","76139","0.0-3.0-0.0-0.23","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","27","77241","0.0-3.0-0.0-0.24","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","28","78344","0.0-3.0-0.0-0.25","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","29","79445","0.0-3.0-0.0-0.26","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","30","80547","0.0-3.0-0.0-0.27","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","31","81649","0.0-3.0-0.0-0.28","null","training","C","",""
"7318","","","survey-likert","32","89268","0.0-3.0-1.0","","","","{""Q0"":9}","[0]"
"6129","","","survey-multi-choice","33","95398","0.0-3.0-2.0","","","","{""Q0"":""A""}","[0]"
"2568","Incorrect! + $0<p> The correct choice was: B","0","html-button-response","34","97968","0.0-3.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","35","98769","0.0-4.0-0.0-0.0","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","36","99872","0.0-4.0-0.0-0.1","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","37","100973","0.0-4.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","38","102074","0.0-4.0-0.0-0.3","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","39","103175","0.0-4.0-0.0-0.4","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","40","104278","0.0-4.0-0.0-0.5","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","41","105380","0.0-4.0-0.0-0.6","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","42","106483","0.0-4.0-0.0-0.7","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","43","107584","0.0-4.0-0.0-0.8","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","44","108686","0.0-4.0-0.0-0.9","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","45","109788","0.0-4.0-0.0-0.10","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","46","110890","0.0-4.0-0.0-0.11","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","47","111991","0.0-4.0-0.0-0.12","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","48","113093","0.0-4.0-0.0-0.13","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","49","114196","0.0-4.0-0.0-0.14","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","50","115299","0.0-4.0-0.0-0.15","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","51","116402","0.0-4.0-0.0-0.16","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","52","117504","0.0-4.0-0.0-0.17","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","53","118607","0.0-4.0-0.0-0.18","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","54","119711","0.0-4.0-0.0-0.19","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","55","120814","0.0-4.0-0.0-0.20","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","56","121916","0.0-4.0-0.0-0.21","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","57","123018","0.0-4.0-0.0-0.22","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","58","124120","0.0-4.0-0.0-0.23","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","59","125221","0.0-4.0-0.0-0.24","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","60","126323","0.0-4.0-0.0-0.25","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","61","127425","0.0-4.0-0.0-0.26","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","62","128527","0.0-4.0-0.0-0.27","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","63","129628","0.0-4.0-0.0-0.28","null","training","A","",""
"4672","","","survey-likert","64","134602","0.0-4.0-1.0","","","","{""Q0"":9}","[0]"
"3271","","","survey-multi-choice","65","137875","0.0-4.0-2.0","","","","{""Q0"":""A""}","[0]"
"1251","Correct! + $1","0","html-button-response","66","139127","0.0-4.0-3.0","","","","",""
"2357","<p> Some sequences may be completely random, like this one: </p>","0","html-button-response","67","141485","0.0-5.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","68","142286","0.0-6.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","69","143388","0.0-6.0-0.0-0.1","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","70","144491","0.0-6.0-0.0-0.2","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","71","145593","0.0-6.0-0.0-0.3","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","72","146694","0.0-6.0-0.0-0.4","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","73","147796","0.0-6.0-0.0-0.5","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","74","148898","0.0-6.0-0.0-0.6","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","75","150000","0.0-6.0-0.0-0.7","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","76","151102","0.0-6.0-0.0-0.8","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","77","152204","0.0-6.0-0.0-0.9","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","78","153305","0.0-6.0-0.0-0.10","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","79","154407","0.0-6.0-0.0-0.11","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","80","155509","0.0-6.0-0.0-0.12","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","81","156612","0.0-6.0-0.0-0.13","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","82","157714","0.0-6.0-0.0-0.14","null","training","A ","",""
"null","<div style=""font-size:65px;"">A   </div>","","html-keyboard-response","83","158817","0.0-6.0-0.0-0.15","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","84","159919","0.0-6.0-0.0-0.16","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","85","161020","0.0-6.0-0.0-0.17","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","86","162124","0.0-6.0-0.0-0.18","null","training","B","",""
