"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","test_part","next_elem","responses","question_order"
"15102","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","0","html-button-response","0","15105","0.0-0.0","","","","",""
"32009","<p>This session will last for 15min.</p><p> In each trial, you will see some symbols appearing one-by-one </p><p> and you will be asked to stop the sequence whenever you can answer some questions (more on this later). </p><p> Each sequence is independent from one another. </p><p> You will be paid extra based on the overall number of correct responses you give. </p><p> <br /> We will try this on some examples before we move on to the actual experiment: </p>","0","html-button-response","1","47116","0.0-1.0","","","","",""
"3148","Some sequences will be highly predictable, like these:","0","html-button-response","2","51266","0.0-2.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","3","53067","0.0-3.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","4","54169","0.0-3.0-0.0-0.1","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","5","55271","0.0-3.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","6","56373","0.0-3.0-0.0-0.3","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","7","57476","0.0-3.0-0.0-0.4","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","8","58578","0.0-3.0-0.0-0.5","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","9","59681","0.0-3.0-0.0-0.6","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","10","60783","0.0-3.0-0.0-0.7","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","11","61886","0.0-3.0-0.0-0.8","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","12","62988","0.0-3.0-0.0-0.9","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","13","64089","0.0-3.0-0.0-0.10","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","14","65190","0.0-3.0-0.0-0.11","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","15","66292","0.0-3.0-0.0-0.12","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","16","67394","0.0-3.0-0.0-0.13","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","17","68495","0.0-3.0-0.0-0.14","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","18","69598","0.0-3.0-0.0-0.15","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","19","70700","0.0-3.0-0.0-0.16","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","20","71802","0.0-3.0-0.0-0.17","null","training","A","",""
