"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","test_part","next_elem","responses","question_order"
"22814","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","0","html-button-response","0","22817","0.0-0.0","","","","",""
"18011.999999999996","<p>This session will last for 15min.</p><p> In each trial, you will see some symbols appearing one-by-one </p><p> and you will be asked to stop the sequence whenever you can answer some questions (more on this later). </p><p> Each sequence is independent from one another. </p><p> You will be paid extra based on the overall number of correct responses you give. </p><p> <br /> We will try this on some examples before we move on to the actual experiment: </p>","0","html-button-response","1","40831","0.0-1.0","","","","",""
"1520","Some sequences will be highly predictable, like these:","0","html-button-response","2","43352","0.0-2.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","3","45154","0.0-3.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","4","46257","0.0-3.0-0.0-0.1","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","5","47360","0.0-3.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","6","48462","0.0-3.0-0.0-0.3","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","7","49564","0.0-3.0-0.0-0.4","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","8","50666","0.0-3.0-0.0-0.5","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","9","51768","0.0-3.0-0.0-0.6","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","10","52871","0.0-3.0-0.0-0.7","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","11","53974","0.0-3.0-0.0-0.8","null","training","A","",""
"465","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","12","54740","0.0-3.0-0.0-0.9","32","training","B","",""
"null","","","html-keyboard-response","13","55043","0.0-3.0-0.0-0.10","null","training","C","",""
"6217","","","survey-likert","14","61261","0.0-3.0-1.0","","","","{""Q0"":9}","[0]"
"13165","","","survey-multi-choice","15","74428","0.0-3.0-2.0","","","","{""Q0"":""C""}","[0]"
"1531","Incorrect! + $0<p> The correct choice was: B","0","html-button-response","16","75960","0.0-3.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","17","76762","0.0-4.0-0.0-0.0","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","18","77864","0.0-4.0-0.0-0.1","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","19","78965","0.0-4.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","20","80067","0.0-4.0-0.0-0.3","null","training","A","",""
"244","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","21","80612","0.0-4.0-0.0-0.4","32","training","A","",""
"null","","","html-keyboard-response","22","80915","0.0-4.0-0.0-0.5","null","training","A","",""
"5496","","","survey-likert","23","86412","0.0-4.0-1.0","","","","{""Q0"":8}","[0]"
"1832","","","survey-multi-choice","24","88246","0.0-4.0-2.0","","","","{""Q0"":""A""}","[0]"
"857.9999999999854","Correct! + $1","0","html-button-response","25","89104","0.0-4.0-3.0","","","","",""
"1418","<p> Some sequences may be completely random, like this one: </p>","0","html-button-response","26","90522","0.0-5.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","27","91324","0.0-6.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","28","92425","0.0-6.0-0.0-0.1","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","29","93528","0.0-6.0-0.0-0.2","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","30","94630","0.0-6.0-0.0-0.3","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","31","95731","0.0-6.0-0.0-0.4","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","32","96833","0.0-6.0-0.0-0.5","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","33","97935","0.0-6.0-0.0-0.6","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","34","99036","0.0-6.0-0.0-0.7","null","training","B","",""
"737","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","35","100075","0.0-6.0-0.0-0.8","32","training","A","",""
"null","","","html-keyboard-response","36","100377","0.0-6.0-0.0-0.9","null","training","C","",""
"19193.999999999985","","","survey-likert","37","119573","0.0-6.0-1.0","","","","{""Q0"":0}","[0]"
"3819.0000000000146","","","survey-multi-choice","38","123393","0.0-6.0-2.0","","","","{""Q0"":""I do not know""}","[0]"
"916","Okay, let's move to the next trial","0","html-button-response","39","124310","0.0-6.0-3.0","","","","",""
"3030.0000000000146","<p> You are now ready to proceed with the actual experiment. </p><p>Some sequences will be random, some will not, and others will be somewhere inbetween </p>","0","html-button-response","40","127340","0.0-7.0","","","","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","41","128144","0.0-8.0-0.0-0.0","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","42","129246","0.0-8.0-0.0-0.1","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","43","130347","0.0-8.0-0.0-0.2","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","44","131450","0.0-8.0-0.0-0.3","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","45","132552","0.0-8.0-0.0-0.4","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","46","133655","0.0-8.0-0.0-0.5","null","test","C","",""
"474","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","47","134430","0.0-8.0-0.0-0.6","32","test","C","",""
"null","","","html-keyboard-response","48","134733","0.0-8.0-0.0-0.7","null","test","C","",""
"1932.999999999971","","","survey-likert","49","136668","0.0-8.0-1.0","","","","{""Q0"":9}","[0]"
"1587","","","survey-multi-choice","50","138257","0.0-8.0-2.0","","","","{""Q0"":""C""}","[0]"
"864","Correct! + $1","0","html-button-response","51","139124","0.0-8.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","52","139927","0.0-9.0-0.0-0.0","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","53","141029","0.0-9.0-0.0-0.1","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","54","142130","0.0-9.0-0.0-0.2","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","55","143232","0.0-9.0-0.0-0.3","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","56","144335","0.0-9.0-0.0-0.4","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","57","145437","0.0-9.0-0.0-0.5","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","58","146538","0.0-9.0-0.0-0.6","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","59","147640","0.0-9.0-0.0-0.7","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","60","148742","0.0-9.0-0.0-0.8","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","61","149844","0.0-9.0-0.0-0.9","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","62","150945","0.0-9.0-0.0-0.10","null","test","B","",""
