"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","test_part","next_elem","responses","question_order"
"7137","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","0","html-button-response","0","7140","0.0-0.0","","","","",""
"4972","<p>This session will last for 15min.</p><p> In each trial, you will see some symbols appearing one-by-one </p><p> and you will be asked to stop the sequence whenever you can answer some questions (more on this later). </p><p> Each sequence is independent from one another. </p><p> You will be paid extra based on the overall number of correct responses you give. </p><p> <br /> We will try this on some examples before we move on to the actual experiment: </p>","0","html-button-response","1","12112","0.0-1.0","","","","",""
"2821.000000000002","Some sequences will be highly predictable, like these:","0","html-button-response","2","15935","0.0-2.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","3","17737","0.0-3.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","4","18840","0.0-3.0-0.0-0.1","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","5","19941","0.0-3.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","6","21043","0.0-3.0-0.0-0.3","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","7","22144","0.0-3.0-0.0-0.4","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","8","23246","0.0-3.0-0.0-0.5","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","9","24349","0.0-3.0-0.0-0.6","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","10","25452","0.0-3.0-0.0-0.7","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","11","26554","0.0-3.0-0.0-0.8","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","12","27657","0.0-3.0-0.0-0.9","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","13","28760","0.0-3.0-0.0-0.10","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","14","29862","0.0-3.0-0.0-0.11","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","15","30965","0.0-3.0-0.0-0.12","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","16","32068","0.0-3.0-0.0-0.13","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","17","33170","0.0-3.0-0.0-0.14","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","18","34272","0.0-3.0-0.0-0.15","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","19","35374","0.0-3.0-0.0-0.16","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","20","36476","0.0-3.0-0.0-0.17","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","21","37577","0.0-3.0-0.0-0.18","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","22","38678","0.0-3.0-0.0-0.19","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","23","39780","0.0-3.0-0.0-0.20","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","24","40882","0.0-3.0-0.0-0.21","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","25","41984","0.0-3.0-0.0-0.22","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","26","43085","0.0-3.0-0.0-0.23","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","27","44188","0.0-3.0-0.0-0.24","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","28","45291","0.0-3.0-0.0-0.25","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","29","46394","0.0-3.0-0.0-0.26","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","30","47497","0.0-3.0-0.0-0.27","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","31","48599","0.0-3.0-0.0-0.28","null","training","C","",""
"3432","","","survey-likert","32","52333","0.0-3.0-1.0","","","","{""Q0"":9}","[0]"
"4277","","","survey-multi-choice","33","56612","0.0-3.0-2.0","","","","{""Q0"":""A""}","[0]"
"2018","Incorrect! + $0<p> The correct choice was: B","0","html-button-response","34","58632","0.0-3.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","35","59433","0.0-4.0-0.0-0.0","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","36","60535","0.0-4.0-0.0-0.1","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","37","61637","0.0-4.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","38","62738","0.0-4.0-0.0-0.3","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","39","63841","0.0-4.0-0.0-0.4","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","40","64943","0.0-4.0-0.0-0.5","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","41","66045","0.0-4.0-0.0-0.6","null","training","A","",""
