"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","test_part","next_elem","responses","question_order"
"1321.6450000181794","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","0","html-button-response","0","1325","0.0-0.0","","","","",""
"717.975000035949","<p>This session will last for 15min.</p><p> In each trial, you will see some symbols appearing one-by-one </p><p> and you will be asked to stop the sequence whenever you can answer some questions (more on this later). </p><p> Each sequence is independent from one another. </p><p> You will be paid extra based on the overall number of correct responses you give. </p><p> <br /> We will try this on some examples before we move on to the actual experiment: </p>","0","html-button-response","1","2045","0.0-1.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","2","3858","0.0-2.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","3","4967","0.0-2.0-0.0-0.1","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","4","6077","0.0-2.0-0.0-0.2","null","training","A","",""
"480.31499999342486","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","5","6862","0.0-2.0-0.0-0.3","32","training","B","",""
"null","","","html-keyboard-response","6","7166","0.0-2.0-0.0-0.4","null","training","C","",""
"1235.599999956321","","","survey-likert","7","8404","0.0-2.0-1.0","","","","{""Q0"":2}","[0]"
"2555.3150000050664","","","survey-multi-choice","8","10961","0.0-2.0-2.0","","","","{""Q0"":""B""}","[0]"
"758.6199999786913","Correct! + $1","0","html-button-response","9","11721","0.0-2.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","10","12525","0.0-3.0-0.0-0.0","null","training","A","",""
"604.2499999748543","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","11","13432","0.0-3.0-0.0-0.1","32","training","A","",""
"null","","","html-keyboard-response","12","13735","0.0-3.0-0.0-0.2","null","training","A","",""
"1887.7299999585375","","","survey-likert","13","15624","0.0-3.0-1.0","","","","{""Q0"":1}","[0]"
"1804.999999993015","","","survey-multi-choice","14","17430","0.0-3.0-2.0","","","","{""Q0"":""A""}","[0]"
"2234.7849999787286","Correct! + $1","0","html-button-response","15","19667","0.0-3.0-3.0","","","","",""
"915.099999983795","<p> You are now ready to proceed with the actual experiment </p>","0","html-button-response","16","20583","0.0-4.0","","","","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","17","21387","0.0-5.0-0.0-0.0","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","18","22492","0.0-5.0-0.0-0.1","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","19","23599","0.0-5.0-0.0-0.2","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","20","24703","0.0-5.0-0.0-0.3","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","21","25810","0.0-5.0-0.0-0.4","null","test","C","",""
"368.5950000071898","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","22","26485","0.0-5.0-0.0-0.5","32","test","B","",""
"null","","","html-keyboard-response","23","26793","0.0-5.0-0.0-0.6","null","test","B","",""
"1866.5400000172667","","","survey-likert","24","28661","0.0-5.0-1.0","","","","{""Q0"":3}","[0]"
"1821.9650000100955","","","survey-multi-choice","25","30484","0.0-5.0-2.0","","","","{""Q0"":""A, B, and C, are all equally likely""}","[0]"
"2325.4300000262447","Incorrect! + $0<p> The correct choice was: B","0","html-button-response","26","32811","0.0-5.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","27","33618","0.0-6.0-0.0-0.0","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","28","34721","0.0-6.0-0.0-0.1","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","29","35829","0.0-6.0-0.0-0.2","null","test","B","",""
"588.8600000180304","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","30","36725","0.0-6.0-0.0-0.3","32","test","A","",""
"null","","","html-keyboard-response","31","37030","0.0-6.0-0.0-0.4","null","test","C","",""
"1003.5449999850243","","","survey-likert","32","38035","0.0-6.0-1.0","","","","{""Q0"":5}","[0]"
"2019.6299999952316","","","survey-multi-choice","33","40057","0.0-6.0-2.0","","","","{""Q0"":""C""}","[0]"
"642.4600000027567","Incorrect! + $0<p> The correct choice was: A","0","html-button-response","34","40701","0.0-6.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","35","41505","0.0-7.0-0.0-0.0","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","36","42613","0.0-7.0-0.0-0.1","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","37","43720","0.0-7.0-0.0-0.2","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","38","44824","0.0-7.0-0.0-0.3","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","39","45935","0.0-7.0-0.0-0.4","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","40","47042","0.0-7.0-0.0-0.5","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","41","48145","0.0-7.0-0.0-0.6","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","42","49250","0.0-7.0-0.0-0.7","null","test","C","",""
"304.4599999557249","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","43","49856","0.0-7.0-0.0-0.8","32","test","A","",""
"null","","","html-keyboard-response","44","50163","0.0-7.0-0.0-0.9","null","test","C","",""
"1099.4649999774992","","","survey-likert","45","51264","0.0-7.0-1.0","","","","{""Q0"":5}","[0]"
"1219.5150000043213","","","survey-multi-choice","46","52486","0.0-7.0-2.0","","","","{""Q0"":""A, B, and C, are all equally likely""}","[0]"
"897.3049999913201","Correct! + $1","0","html-button-response","47","53384","0.0-7.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","48","54188","0.0-8.0-0.0-0.0","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","49","55295","0.0-8.0-0.0-0.1","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","50","56405","0.0-8.0-0.0-0.2","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","51","57508","0.0-8.0-0.0-0.3","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","52","58616","0.0-8.0-0.0-0.4","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","53","59727","0.0-8.0-0.0-0.5","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","54","60838","0.0-8.0-0.0-0.6","null","test","B","",""
"","","","html-keyboard-response","55","61144","0.0-8.0-0.0-0.7","","test","A","",""
