"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","responses","question_order"
"1194.9299999978393","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","32","html-keyboard-response","0","1199","0.0-0.0","","",""
"320.8100000010745","<p>This session will last for 10min.</p><p> In each trial, you will see a sequence consisting A's, B's and/or C's. </p> <p> After seeing the sequence, press any key, and you will be asked </p> <p> to judge how likely it is that the sequence came from a random process. </p><p> Each sequence is independent from one another. </p>","32","html-keyboard-response","1","1521","0.0-1.0","","",""
"337.83000000039465","<div style=""font-size:45px;"">A  B  B  A  B  A                                          </div>","32","html-keyboard-response","2","2865","0.0-2.0-0.0","test","",""
"5132.994999999937","","","survey-likert","3","8506","0.0-2.0-1.0","","{""Q0"":3}","[0]"
"460.00000000276486","<div style=""font-size:45px;"">A  B  A  A  A  B                                          </div>","32","html-keyboard-response","4","8969","0.0-2.0-0.1","test","",""
"1589.974999998958","","","survey-likert","5","11065","0.0-2.0-1.1","","{""Q0"":3}","[0]"
"2997.1850000001723","<div style=""font-size:45px;"">A  A  B  A  A  B  A  A  B  A  A  B  A  A                  </div>","32","html-keyboard-response","6","14064","0.0-2.0-0.2","test","",""
"3020.9450000002107","","","survey-likert","7","17590","0.0-2.0-1.2","","{""Q0"":0}","[0]"
"1665.0250000020606","<div style=""font-size:45px;"">B  B  B  A  B  B  C  A  A  A  A  A  C  B  B  B  B  A  A  A</div>","32","html-keyboard-response","8","19257","0.0-2.0-0.3","test","",""
"1910.8450000021548","","","survey-likert","9","21674","0.0-2.0-1.3","","{""Q0"":3}","[0]"
"412.77000000263797","<div style=""font-size:45px;"">C  B  B  A                                                </div>","32","html-keyboard-response","10","22089","0.0-2.0-0.4","test","",""
"3752.779999998893","","","survey-likert","11","26349","0.0-2.0-1.4","","{""Q0"":8}","[0]"
"602.8500000029453","<div style=""font-size:45px;"">B  C  A  A  A  B                                          </div>","32","html-keyboard-response","12","26954","0.0-2.0-0.5","test","",""
"1185.3049999990617","","","survey-likert","13","28641","0.0-2.0-1.5","","{""Q0"":6}","[0]"
"370.7799999974668","<div style=""font-size:45px;"">B  A  C  A                                                </div>","32","html-keyboard-response","14","29013","0.0-2.0-0.6","test","",""
"1564.875000000029","","","survey-likert","15","31080","0.0-2.0-1.6","","{""Q0"":9}","[0]"
"1169.819999999163","<div style=""font-size:45px;"">C  A  B  A  B  A  B  A                                    </div>","32","html-keyboard-response","16","32251","0.0-2.0-0.7","test","",""
"1494.0349999997125","","","survey-likert","17","34247","0.0-2.0-1.7","","{""Q0"":2}","[0]"
"624.470000002475","<div style=""font-size:45px;"">A  C  B  A  C  A  B  C  B  C  C  B  C  B  C  A            </div>","32","html-keyboard-response","18","34873","0.0-2.0-0.8","test","",""
"1016.5799999995215","","","survey-likert","19","36392","0.0-2.0-1.8","","{""Q0"":7}","[0]"
"496.8650000009802","<div style=""font-size:45px;"">C  B  B  B  A  A  A  A  A  A  A  A                        </div>","32","html-keyboard-response","20","36891","0.0-2.0-0.9","test","",""
"2114.6300000000338","","","survey-likert","21","39511","0.0-2.0-1.9","","{""Q0"":2}","[0]"
"874.2799999999988","<div style=""font-size:45px;"">B  C  A  C  B  B  B  C  B  B  B  B  C  C                  </div>","32","html-keyboard-response","22","40387","0.0-2.0-0.10","test","",""
"2482.9050000007555","","","survey-likert","23","43375","0.0-2.0-1.10","","{""Q0"":2}","[0]"
"744.314999999915","<div style=""font-size:45px;"">C  B  B  C  B  B  B  B  B  B  B  B  B  B  B  C            </div>","32","html-keyboard-response","24","44121","0.0-2.0-0.11","test","",""
"1510.4800000008254","","","survey-likert","25","46133","0.0-2.0-1.11","","{""Q0"":1}","[0]"
"355.65000000133296","<div style=""font-size:45px;"">C  C  C  C  C  C                                          </div>","32","html-keyboard-response","26","46490","0.0-2.0-0.12","test","",""
"2230.9600000007777","","","survey-likert","27","49228","0.0-2.0-1.12","","{""Q0"":4}","[0]"
"379.95999999839114","<div style=""font-size:45px;"">B  B  B  B  B  C                                          </div>","32","html-keyboard-response","28","49609","0.0-2.0-0.13","test","",""
"1473.7900000000081","","","survey-likert","29","51585","0.0-2.0-1.13","","{""Q0"":2}","[0]"
"997.7949999993143","<div style=""font-size:45px;"">B  A  B  C  B  B  C  C  A  C  C  A  A  C  A  C  B  C      </div>","32","html-keyboard-response","30","52585","0.0-2.0-0.14","test","",""
"1393.2649999987916","","","survey-likert","31","54485","0.0-2.0-1.14","","{""Q0"":9}","[0]"
"522.1899999996822","<div style=""font-size:45px;"">A  A  A  A  A  C  B  C  A  B                              </div>","32","html-keyboard-response","32","55008","0.0-2.0-0.15","test","",""
"1746.579999999085","","","survey-likert","33","57258","0.0-2.0-1.15","","{""Q0"":2}","[0]"
"459.4649999999092","<div style=""font-size:45px;"">A  A  A  B  C  C  C  C  C  A  C  C  B  A  C  B  C  C      </div>","32","html-keyboard-response","34","57719","0.0-2.0-0.16","test","",""
"2718.5199999985343","","","survey-likert","35","60941","0.0-2.0-1.16","","{""Q0"":9}","[0]"
"563.7349999997241","<div style=""font-size:45px;"">A  A  A  A  B  B  B  B  B  B  B  C  C  C  A  A  A  A  A  A</div>","32","html-keyboard-response","36","61506","0.0-2.0-0.17","test","",""
"1589.7100000001956","","","survey-likert","37","63602","0.0-2.0-1.17","","{""Q0"":0}","[0]"
"412.3650000001362","<div style=""font-size:45px;"">B  C  A  A  A  A  A  A  A  A                              </div>","32","html-keyboard-response","38","64016","0.0-2.0-0.18","test","",""
"1122.9349999994156","","","survey-likert","39","65641","0.0-2.0-1.18","","{""Q0"":1}","[0]"
"325.3199999999197","<div style=""font-size:45px;"">B  B  B  B  B  B                                          </div>","32","html-keyboard-response","40","65967","0.0-2.0-0.19","test","",""
"1340.7699999988836","","","survey-likert","41","67810","0.0-2.0-1.19","","{""Q0"":3}","[0]"
"250.8400000006077","<div style=""font-size:45px;"">B  C  C  B  C  C  B  C  C  B  C  C                        </div>","32","html-keyboard-response","42","68062","0.0-2.0-0.20","test","",""
"2200.7400000002235","","","survey-likert","43","70765","0.0-2.0-1.20","","{""Q0"":1}","[0]"
"463.80000000135624","<div style=""font-size:45px;"">B  C  C  C                                                </div>","32","html-keyboard-response","44","71232","0.0-2.0-0.21","test","",""
"2442.2100000010687","","","survey-likert","45","74179","0.0-2.0-1.21","","{""Q0"":3}","[0]"
"304.3599999982689","<div style=""font-size:45px;"">C  A  A  B  C  A  A  A  C  B  B  B  A  B  C  A            </div>","32","html-keyboard-response","46","74484","0.0-2.0-0.22","test","",""
