"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","responses","question_order"
"4374","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","32","html-keyboard-response","0","4383","0.0-0.0","","",""
"13687","<p>This session will last for 10min.</p><p> In each trial, you will see a sequence consisting A's, B's and/or C's. </p> <p> After seeing the sequence, press any key, and you will be asked </p> <p> to judge how likely it is that the sequence came from a random process. </p><p> Each sequence is independent from one another. </p>","32","html-keyboard-response","1","18070","0.0-1.0","","",""
"5395","<div style=""font-size:45px;"">B  B  B  B  B  B                                          </div>","32","html-keyboard-response","2","24471","0.0-2.0-0.0","test","",""
"21839","","","survey-likert","3","46815","0.0-2.0-1.0","","{""Q0"":1}","[0]"
"31112","<div style=""font-size:45px;"">C  B  A  C  B  C  C  B  C  B  C  B  C  B  C  C  A  C  B  A</div>","32","html-keyboard-response","4","77927","0.0-2.0-0.1","test","",""
"9652","","","survey-likert","5","88082","0.0-2.0-1.1","","{""Q0"":2}","[0]"
"23027","<div style=""font-size:45px;"">A  C  B  B  C  B  A  A  A  A  A  B  C  C  C  A  B  A  A  B</div>","32","html-keyboard-response","6","111110","0.0-2.0-0.2","test","",""
"2606","","","survey-likert","7","114221","0.0-2.0-1.2","","{""Q0"":4}","[0]"
"9759","<div style=""font-size:45px;"">B  C  C  B  B  B  A  C  B  C  A  C                        </div>","32","html-keyboard-response","8","123982","0.0-2.0-0.3","test","",""
"6599.999999999985","","","survey-likert","9","131084","0.0-2.0-1.3","","{""Q0"":4}","[0]"
"2016","<div style=""font-size:45px;"">A  A  A  A  A  C  B  C  A  B                              </div>","32","html-keyboard-response","10","133101","0.0-2.0-0.4","test","",""
"2026","","","survey-likert","11","135629","0.0-2.0-1.4","","{""Q0"":2}","[0]"
"5007","<div style=""font-size:45px;"">A  C  B  A  C  A  B  C  B  C  C  B  C  B  C  A            </div>","32","html-keyboard-response","12","140637","0.0-2.0-0.5","test","",""
"6542","","","survey-likert","13","147681","0.0-2.0-1.5","","{""Q0"":7}","[0]"
"3923","<div style=""font-size:45px;"">A  A  A  A  B  B  B  B  B  B  B  C  C  C  A  A  A  A  A  A</div>","32","html-keyboard-response","14","151605","0.0-2.0-0.6","test","",""
"2074","","","survey-likert","15","154181","0.0-2.0-1.6","","{""Q0"":1}","[0]"
"14614","<div style=""font-size:45px;"">B  A  B  B  A  C  C  A  B  C  B  B  C  A  C  C  A  B  A  B</div>","32","html-keyboard-response","16","168796","0.0-2.0-0.7","test","",""
"2227","","","survey-likert","17","171524","0.0-2.0-1.7","","{""Q0"":8}","[0]"
"2598","<div style=""font-size:45px;"">B  C  B  B                                                </div>","32","html-keyboard-response","18","174123","0.0-2.0-0.8","test","",""
"3971","","","survey-likert","19","178596","0.0-2.0-1.8","","{""Q0"":1}","[0]"
"10068","<div style=""font-size:45px;"">C  C  B  B  B  B  C  C  B  C  C  A                        </div>","32","html-keyboard-response","20","188665","0.0-2.0-0.9","test","",""
"1811","","","survey-likert","21","190978","0.0-2.0-1.9","","{""Q0"":1}","[0]"
"10757.00000000003","<div style=""font-size:45px;"">B  B  C  B  B  C  B  B  C  B  B  C  B  B  C  B            </div>","32","html-keyboard-response","22","201736","0.0-2.0-0.10","test","",""
"1634","","","survey-likert","23","203871","0.0-2.0-1.10","","{""Q0"":0}","[0]"
"2665","<div style=""font-size:45px;"">C  C  B  C  C  B  C  C  B  C  C  B  C  C  B  C            </div>","32","html-keyboard-response","24","206536","0.0-2.0-0.11","test","",""
"2250","","","survey-likert","25","209288","0.0-2.0-1.11","","{""Q0"":0}","[0]"
"3063","<div style=""font-size:45px;"">C  B  C  B  C  B  C  B  C  B  C  B  C  B  C  B  C  B  C  B</div>","32","html-keyboard-response","26","212352","0.0-2.0-0.12","test","",""
"3421","","","survey-likert","27","216274","0.0-2.0-1.12","","{""Q0"":0}","[0]"
"7645","<div style=""font-size:45px;"">B  C  A  A  A  A  B  A  A  A  B  B                        </div>","32","html-keyboard-response","28","223920","0.0-2.0-0.13","test","",""
"2132","","","survey-likert","29","226554","0.0-2.0-1.13","","{""Q0"":1}","[0]"
"2500","<div style=""font-size:45px;"">C  C  C  C  C  A  A  A  A  B                              </div>","32","html-keyboard-response","30","229056","0.0-2.0-0.14","test","",""
"8016.000000000029","","","survey-likert","31","237573","0.0-2.0-1.14","","{""Q0"":1}","[0]"
"2441","<div style=""font-size:45px;"">A  B  B  A  B  A                                          </div>","32","html-keyboard-response","32","240015","0.0-2.0-0.15","test","",""
"1632","","","survey-likert","33","242148","0.0-2.0-1.15","","{""Q0"":1}","[0]"
"2290","<div style=""font-size:45px;"">B  B  B  B  B  C                                          </div>","32","html-keyboard-response","34","244439","0.0-2.0-0.16","test","",""
"3205","","","survey-likert","35","248145","0.0-2.0-1.16","","{""Q0"":0}","[0]"
"3517","<div style=""font-size:45px;"">A  B  A  A  B  A  A  A  A  A  A  A  A  A  A  C  C  C      </div>","32","html-keyboard-response","36","251663","0.0-2.0-0.17","test","",""
"2011","","","survey-likert","37","254175","0.0-2.0-1.17","","{""Q0"":0}","[0]"
"16670","<div style=""font-size:45px;"">B  B  B  A  C  C  B  B  C  A  B  C  B  C                  </div>","32","html-keyboard-response","38","270845","0.0-2.0-0.18","test","",""
"2267","","","survey-likert","39","273614","0.0-2.0-1.18","","{""Q0"":1}","[0]"
"15415","<div style=""font-size:45px;"">B  B  B  B  B  A  B  C  A  A  B  B  C  B  C  C            </div>","32","html-keyboard-response","40","289029","0.0-2.0-0.19","test","",""
"2780","","","survey-likert","41","292311","0.0-2.0-1.19","","{""Q0"":4}","[0]"
"2204.999999999942","<div style=""font-size:45px;"">B  A  B  A                                                </div>","32","html-keyboard-response","42","294517","0.0-2.0-0.20","test","",""
"4956","","","survey-likert","43","299975","0.0-2.0-1.20","","{""Q0"":4}","[0]"
"3292","<div style=""font-size:45px;"">C  B  C  A  C  A  B  C  B  C                              </div>","32","html-keyboard-response","44","303269","0.0-2.0-0.21","test","",""
"1693.9999999999418","","","survey-likert","45","305465","0.0-2.0-1.21","","{""Q0"":4}","[0]"
"1347","<div style=""font-size:45px;"">A  C  A  A  A  A                                          </div>","32","html-keyboard-response","46","306813","0.0-2.0-0.22","test","",""
"2601","","","survey-likert","47","309915","0.0-2.0-1.22","","{""Q0"":1}","[0]"
"15209","<div style=""font-size:45px;"">A  A  B  B  C  C  C  C  A  B  B  B  B  C  C  B  C  C      </div>","32","html-keyboard-response","48","325125","0.0-2.0-0.23","test","",""
"1993.0000000000582","","","survey-likert","49","327621","0.0-2.0-1.23","","{""Q0"":3}","[0]"
"2230","<div style=""font-size:45px;"">C  B  B  B  B  B  B  B  B  B  B  B                        </div>","32","html-keyboard-response","50","329853","0.0-2.0-0.24","test","",""
"1656","","","survey-likert","51","332011","0.0-2.0-1.24","","{""Q0"":0}","[0]"
"1584.0000000000582","<div style=""font-size:45px;"">C  C  C  C  C  C                                          </div>","32","html-keyboard-response","52","333597","0.0-2.0-0.25","test","",""
"1979","","","survey-likert","53","336077","0.0-2.0-1.25","","{""Q0"":0}","[0]"
"53352.00000000006","<div style=""font-size:45px;"">C  A  A  B  C  A  A  A  C  B  B  B  A  B  C  A            </div>","32","html-keyboard-response","54","389428","0.0-2.0-0.26","test","",""
"2418","","","survey-likert","55","392349","0.0-2.0-1.26","","{""Q0"":2}","[0]"
"4470.000000000058","<div style=""font-size:45px;"">A  C  B  A  C  B  A  C  B  A  C  B  A  C  B  A            </div>","32","html-keyboard-response","56","396820","0.0-2.0-0.27","test","",""
"1911","","","survey-likert","57","399234","0.0-2.0-1.27","","{""Q0"":2}","[0]"
