"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","test_part","next_elem","responses","question_order"
"19456","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","0","html-button-response","0","19459","0.0-0.0","","","","",""
"1060","<p>This session will last for 15min.</p><p> In each trial, you will see some symbols appearing one-by-one </p><p> and you will be asked to stop the sequence whenever you can answer some questions (more on this later). </p><p> Each sequence is independent from one another. </p><p> You will be paid extra based on the overall number of correct responses you give. </p><p> <br /> We will try this on some examples before we move on to the actual experiment: </p>","0","html-button-response","1","20523","0.0-1.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","2","22327","0.0-2.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","3","23432","0.0-2.0-0.0-0.1","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","4","24535","0.0-2.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","5","25638","0.0-2.0-0.0-0.3","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","6","26740","0.0-2.0-0.0-0.4","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","7","27843","0.0-2.0-0.0-0.5","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","8","28946","0.0-2.0-0.0-0.6","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","9","30050","0.0-2.0-0.0-0.7","null","training","C","",""
"269","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","10","30621","0.0-2.0-0.0-0.8","32","training","A","",""
"null","","","html-keyboard-response","11","30925","0.0-2.0-0.0-0.9","null","training","B","",""
"2399","","","survey-likert","12","33326","0.0-2.0-1.0","","","","{""Q0"":9}","[0]"
"1632","","","survey-multi-choice","13","34961","0.0-2.0-2.0","","","","{""Q0"":""A""}","[0]"
"1615","Correct! + $1","0","html-button-response","14","36579","0.0-2.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","15","37382","0.0-3.0-0.0-0.0","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","16","38485","0.0-3.0-0.0-0.1","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","17","39587","0.0-3.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","18","40691","0.0-3.0-0.0-0.3","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","19","41794","0.0-3.0-0.0-0.4","null","training","A","",""
"444","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","20","42540","0.0-3.0-0.0-0.5","32","training","A","",""
"null","","","html-keyboard-response","21","42843","0.0-3.0-0.0-0.6","null","training","A","",""
"1962.0000000000073","","","survey-likert","22","44807","0.0-3.0-1.0","","","","{""Q0"":9}","[0]"
"2588.9999999999927","","","survey-multi-choice","23","47398","0.0-3.0-2.0","","","","{""Q0"":""A""}","[0]"
"618","Correct! + $1","0","html-button-response","24","48019","0.0-3.0-3.0","","","","",""
"1349","<p> You are now ready to proceed with the actual experiment </p>","0","html-button-response","25","49369","0.0-4.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","26","50172","0.0-5.0-0.0-0.0","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","27","51274","0.0-5.0-0.0-0.1","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","28","52377","0.0-5.0-0.0-0.2","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","29","53481","0.0-5.0-0.0-0.3","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","30","54585","0.0-5.0-0.0-0.4","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","31","55688","0.0-5.0-0.0-0.5","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","32","56791","0.0-5.0-0.0-0.6","null","test","C","",""
"458","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","33","57551","0.0-5.0-0.0-0.7","32","test","B","",""
"null","","","html-keyboard-response","34","57855","0.0-5.0-0.0-0.8","null","test","B","",""
"3437","","","survey-likert","35","61294","0.0-5.0-1.0","","","","{""Q0"":5}","[0]"
"1682","","","survey-multi-choice","36","62979","0.0-5.0-2.0","","","","{""Q0"":""C""}","[0]"
"609","Incorrect! + $0<p> The correct choice was: B","0","html-button-response","37","63591","0.0-5.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","38","64394","0.0-6.0-0.0-0.0","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","39","65498","0.0-6.0-0.0-0.1","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","40","66602","0.0-6.0-0.0-0.2","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","41","67704","0.0-6.0-0.0-0.3","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","42","68807","0.0-6.0-0.0-0.4","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","43","69911","0.0-6.0-0.0-0.5","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","44","71015","0.0-6.0-0.0-0.6","null","test","C","",""
