"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","test_part","next_elem","responses","question_order"
"1338","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","0","html-button-response","0","1344","0.0-0.0","","","","",""
"1345","<p>This session will last for 15min.</p><p> In each trial, you will see some symbols appearing one-by-one </p><p> and you will be asked to stop the sequence whenever you can answer some questions (more on this later). </p><p> Each sequence is independent from one another. </p><p> You will be paid extra based on the overall number of correct responses you give. </p><p> <br /> We will try this on some examples before we move on to the actual experiment: </p>","0","html-button-response","1","2691","0.0-1.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","2","4496","0.0-2.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","3","5600","0.0-2.0-0.0-0.1","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","4","6704","0.0-2.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","5","7806","0.0-2.0-0.0-0.3","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","6","8909","0.0-2.0-0.0-0.4","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","7","10012","0.0-2.0-0.0-0.5","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","8","11114","0.0-2.0-0.0-0.6","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","9","12219","0.0-2.0-0.0-0.7","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","10","13322","0.0-2.0-0.0-0.8","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","11","14424","0.0-2.0-0.0-0.9","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","12","15527","0.0-2.0-0.0-0.10","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","13","16631","0.0-2.0-0.0-0.11","null","training","A","",""
"277","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","14","17211","0.0-2.0-0.0-0.12","32","training","B","",""
"null","","","html-keyboard-response","15","17514","0.0-2.0-0.0-0.13","null","training","C","",""
"2147","","","survey-likert","16","19664","0.0-2.0-1.0","","","","{""Q0"":9}","[0]"
"1723","","","survey-multi-choice","17","21389","0.0-2.0-2.0","","","","{""Q0"":""B""}","[0]"
"545","Correct! + $1","0","html-button-response","18","21937","0.0-2.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","19","22741","0.0-3.0-0.0-0.0","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","20","23845","0.0-3.0-0.0-0.1","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","21","24949","0.0-3.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","22","26052","0.0-3.0-0.0-0.3","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","23","27155","0.0-3.0-0.0-0.4","null","training","A","",""
"638.9999999999964","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","24","28096","0.0-3.0-0.0-0.5","32","training","A","",""
"null","","","html-keyboard-response","25","28400","0.0-3.0-0.0-0.6","null","training","A","",""
"1855.9999999999964","","","survey-likert","26","30258","0.0-3.0-1.0","","","","{""Q0"":9}","[0]"
"1706.0000000000036","","","survey-multi-choice","27","31967","0.0-3.0-2.0","","","","{""Q0"":""A""}","[0]"
"576","Correct! + $1","0","html-button-response","28","32545","0.0-3.0-3.0","","","","",""
"1366.0000000000036","<p> You are now ready to proceed with the actual experiment </p>","0","html-button-response","29","33912","0.0-4.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","30","34717","0.0-5.0-0.0-0.0","null","test","C","",""
