"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","test_part","next_elem","responses","question_order"
"4295.920000004116","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","0","html-button-response","0","4301","0.0-0.0","","","","",""
"1073.770000017248","<p>This session will last for 15min.</p><p> In each trial, you will see some symbols appearing one-by-one </p><p> and you will be asked to stop the sequence whenever you can answer some questions (more on this later). </p><p> Each sequence is independent from one another. </p><p> You will be paid extra based on the overall number of correct responses you give. </p><p> <br /> We will try this on some examples before we move on to the actual experiment: </p>","0","html-button-response","1","5377","0.0-1.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","2","7185","0.0-2.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","3","8294","0.0-2.0-0.0-0.1","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","4","9398","0.0-2.0-0.0-0.2","null","training","A","",""
"314.9599999887869","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","5","10020","0.0-2.0-0.0-0.3","32","training","B","",""
"null","","","html-keyboard-response","6","10323","0.0-2.0-0.0-0.4","null","training","C","",""
"2893.849999993108","","","survey-likert","7","13219","0.0-2.0-1.0","","","","{""Q0"":9}","[0]"
"1551.0900000226684","","","survey-multi-choice","8","14772","0.0-2.0-2.0","","","","{""Q0"":""B""}","[0]"
"905.1450000260957","Correct! + $1","0","html-button-response","9","15679","0.0-2.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","10","16488","0.0-3.0-0.0-0.0","null","training","A","",""
"391.2550000241026","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","11","17180","0.0-3.0-0.0-0.1","32","training","A","",""
"null","","","html-keyboard-response","12","17485","0.0-3.0-0.0-0.2","null","training","A","",""
"2314.8700000019744","","","survey-likert","13","19801","0.0-3.0-1.0","","","","{""Q0"":9}","[0]"
"1854.6999999671243","","","survey-multi-choice","14","21658","0.0-3.0-2.0","","","","{""Q0"":""A""}","[0]"
"972.6549999904819","Correct! + $1","0","html-button-response","15","22632","0.0-3.0-3.0","","","","",""
"947.0499999588355","<p> You are now ready to proceed with the actual experiment </p>","0","html-button-response","16","23581","0.0-4.0","","","","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","17","24383","0.0-5.0-0.0-0.0","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","18","25490","0.0-5.0-0.0-0.1","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","19","26598","0.0-5.0-0.0-0.2","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","20","27700","0.0-5.0-0.0-0.3","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","21","28806","0.0-5.0-0.0-0.4","null","test","B","",""
"356.5299999900162","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","22","29469","0.0-5.0-0.0-0.5","32","test","B","",""
"null","","","html-keyboard-response","23","29773","0.0-5.0-0.0-0.6","null","test","B","",""
"2549.9600000330247","","","survey-likert","24","32324","0.0-5.0-1.0","","","","{""Q0"":9}","[0]"
"3176.934999995865","","","survey-multi-choice","25","35503","0.0-5.0-2.0","","","","{""Q0"":""B""}","[0]"
"3445.689999964088","Correct! + $1","0","html-button-response","26","38951","0.0-5.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","27","39753","0.0-6.0-0.0-0.0","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","28","40856","0.0-6.0-0.0-0.1","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","29","41962","0.0-6.0-0.0-0.2","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","30","43069","0.0-6.0-0.0-0.3","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","31","44175","0.0-6.0-0.0-0.4","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","32","45284","0.0-6.0-0.0-0.5","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","33","46387","0.0-6.0-0.0-0.6","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","34","47495","0.0-6.0-0.0-0.7","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","35","48606","0.0-6.0-0.0-0.8","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","36","49714","0.0-6.0-0.0-0.9","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","37","50825","0.0-6.0-0.0-0.10","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","38","51930","0.0-6.0-0.0-0.11","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","39","53035","0.0-6.0-0.0-0.12","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","40","54143","0.0-6.0-0.0-0.13","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","41","55250","0.0-6.0-0.0-0.14","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","42","56361","0.0-6.0-0.0-0.15","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","43","57465","0.0-6.0-0.0-0.16","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","44","58569","0.0-6.0-0.0-0.17","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","45","59678","0.0-6.0-0.0-0.18","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","46","60784","0.0-6.0-0.0-0.19","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","47","61886","0.0-6.0-0.0-0.20","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","48","62989","0.0-6.0-0.0-0.21","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","49","64098","0.0-6.0-0.0-0.22","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","50","65206","0.0-6.0-0.0-0.23","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","51","66314","0.0-6.0-0.0-0.24","null","test","A","",""
"733.5949999978766","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","52","67349","0.0-6.0-0.0-0.25","32","test","A","",""
"null","","","html-keyboard-response","53","67655","0.0-6.0-0.0-0.26","null","test","C","",""
"3413.025000016205","","","survey-likert","54","71070","0.0-6.0-1.0","","","","{""Q0"":2}","[0]"
"1713.9549999847077","","","survey-multi-choice","55","72786","0.0-6.0-2.0","","","","{""Q0"":""A""}","[0]"
"1482.9699999536388","Correct! + $1","0","html-button-response","56","74270","0.0-6.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","57","75072","0.0-7.0-0.0-0.0","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","58","76178","0.0-7.0-0.0-0.1","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","59","77289","0.0-7.0-0.0-0.2","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","60","78394","0.0-7.0-0.0-0.3","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","61","79502","0.0-7.0-0.0-0.4","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","62","80605","0.0-7.0-0.0-0.5","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","63","81713","0.0-7.0-0.0-0.6","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","64","82821","0.0-7.0-0.0-0.7","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","65","83925","0.0-7.0-0.0-0.8","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","66","85033","0.0-7.0-0.0-0.9","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","67","86134","0.0-7.0-0.0-0.10","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","68","87240","0.0-7.0-0.0-0.11","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","69","88352","0.0-7.0-0.0-0.12","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","70","89462","0.0-7.0-0.0-0.13","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","71","90572","0.0-7.0-0.0-0.14","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","72","91678","0.0-7.0-0.0-0.15","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","73","92787","0.0-7.0-0.0-0.16","null","test","B","",""
"654.5749999932013","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","74","93748","0.0-7.0-0.0-0.17","32","test","A","",""
"null","","","html-keyboard-response","75","94051","0.0-7.0-0.0-0.18","null","test","C","",""
"2895.0199999962933","","","survey-likert","76","96948","0.0-7.0-1.0","","","","{""Q0"":2}","[0]"
"4221.105000004172","","","survey-multi-choice","77","101171","0.0-7.0-2.0","","","","{""Q0"":""A, B, and C, are all equally likely""}","[0]"
