"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","test_part","next_elem","responses","question_order"
"23234.58499996923","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","0","html-button-response","0","23239","0.0-0.0","","","","",""
"14742.785000009462","<p>This session will last for 15min.</p><p> In each trial, you will see some symbols appearing one-by-one </p><p> and you will be asked to stop the sequence whenever you can answer some questions (more on this later). </p><p> Each sequence is independent from one another. </p><p> You will be paid extra based on the overall number of correct responses you give. </p><p> <br /> We will try this on some examples before we move on to the actual experiment: </p>","0","html-button-response","1","37983","0.0-1.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","2","39794","0.0-2.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","3","40902","0.0-2.0-0.0-0.1","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","4","42006","0.0-2.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","5","43113","0.0-2.0-0.0-0.3","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","6","44224","0.0-2.0-0.0-0.4","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","7","45331","0.0-2.0-0.0-0.5","null","training","A","",""
"444.9400000157766","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","8","46082","0.0-2.0-0.0-0.6","32","training","B","",""
"null","","","html-keyboard-response","9","46389","0.0-2.0-0.0-0.7","null","training","C","",""
"4043.7849999871105","","","survey-likert","10","50437","0.0-2.0-1.0","","","","{""Q0"":9}","[0]"
"23006.050000025425","","","survey-multi-choice","11","73445","0.0-2.0-2.0","","","","{""Q0"":""C""}","[0]"
"5571.434999990743","Incorrect! + $0<p> The correct choice was: B","0","html-button-response","12","79018","0.0-2.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","13","79824","0.0-3.0-0.0-0.0","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","14","80932","0.0-3.0-0.0-0.1","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","15","82039","0.0-3.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","16","83148","0.0-3.0-0.0-0.3","null","training","A","",""
"37.44999994523823","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","17","83492","0.0-3.0-0.0-0.4","32","training","A","",""
"null","","","html-keyboard-response","18","83799","0.0-3.0-0.0-0.5","null","training","A","",""
"4303.744999982882","","","survey-likert","19","88105","0.0-3.0-1.0","","","","{""Q0"":9}","[0]"
"2200.4849999793805","","","survey-multi-choice","20","90307","0.0-3.0-2.0","","","","{""Q0"":""A""}","[0]"
"945.8100000047125","Correct! + $1","0","html-button-response","21","91254","0.0-3.0-3.0","","","","",""
"1524.1399999940768","<p> You are now ready to proceed with the actual experiment </p>","0","html-button-response","22","92780","0.0-4.0","","","","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","23","93584","0.0-5.0-0.0-0.0","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","24","94687","0.0-5.0-0.0-0.1","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","25","95797","0.0-5.0-0.0-0.2","null","test","B","",""
"274.730000004638","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","26","96374","0.0-5.0-0.0-0.3","32","test","C","",""
"null","","","html-keyboard-response","27","96677","0.0-5.0-0.0-0.4","null","test","B","",""
"2159.1399999451824","","","survey-likert","28","98838","0.0-5.0-1.0","","","","{""Q0"":9}","[0]"
"1764.6850000019185","","","survey-multi-choice","29","100604","0.0-5.0-2.0","","","","{""Q0"":""B""}","[0]"
"877.8399999719113","Incorrect! + $0<p> The correct choice was: C","0","html-button-response","30","101484","0.0-5.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","31","102289","0.0-6.0-0.0-0.0","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","32","103397","0.0-6.0-0.0-0.1","null","test","C","",""
"432.53999995067716","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","33","104136","0.0-6.0-0.0-0.2","32","test","C","",""
"null","","","html-keyboard-response","34","104439","0.0-6.0-0.0-0.3","null","test","C","",""
"1655.0849999766797","","","survey-likert","35","106095","0.0-6.0-1.0","","","","{""Q0"":9}","[0]"
"1926.8750000046566","","","survey-multi-choice","36","108023","0.0-6.0-2.0","","","","{""Q0"":""C""}","[0]"
"1029.755000025034","Correct! + $1","0","html-button-response","37","109055","0.0-6.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","38","109857","0.0-7.0-0.0-0.0","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","39","110963","0.0-7.0-0.0-0.1","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","40","112065","0.0-7.0-0.0-0.2","null","test","C","",""
