"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","responses","question_order"
"31277.59000000151","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","32","html-keyboard-response","0","31282","0.0-0.0","","",""
"467.2699999973702","<p>This session will last for 10min.</p><p> In each trial, you will see a sequence consisting A's, B's and/or C's. </p> <p> After seeing the sequence, press any key, and you will be asked </p> <p> to judge how likely it is that the sequence came from a random process. </p><p> Each sequence is independent from one another. </p>","32","html-keyboard-response","1","31751","0.0-1.0","","",""
"7319.989999999962","<div style=""font-size:45px;"">A  C  C  C  B  C  B  B  A  B  A  B  A  C  A  C  A  C      </div>","32","html-keyboard-response","2","40078","0.0-2.0-0.0","test","",""
"2422.2399999998743","","","survey-likert","3","43005","0.0-2.0-1.0","","{""Q0"":7}","[0]"
"985.5050000005576","<div style=""font-size:45px;"">B  C  A  A  A  A  A  A  A  A                              </div>","32","html-keyboard-response","4","43993","0.0-2.0-0.1","test","",""
"1200.4699999997683","","","survey-likert","5","45696","0.0-2.0-1.1","","{""Q0"":2}","[0]"
"491.00499999985914","<div style=""font-size:45px;"">C  C  C  C  C  C  C  C  C  C  C  C  C  C                  </div>","32","html-keyboard-response","6","46188","0.0-2.0-0.2","test","",""
"1662.029999999504","","","survey-likert","7","48355","0.0-2.0-1.2","","{""Q0"":0}","[0]"
"417.88500000257045","<div style=""font-size:45px;"">B  A  B  A  B  A  B  A  A  A                              </div>","32","html-keyboard-response","8","48774","0.0-2.0-0.3","test","",""
"1286.579999999958","","","survey-likert","9","50564","0.0-2.0-1.3","","{""Q0"":1}","[0]"
"622.1399999994901","<div style=""font-size:45px;"">B  B  B  C  C  A  B  B  A  A  C  C                        </div>","32","html-keyboard-response","10","51188","0.0-2.0-0.4","test","",""
"2352.2250000023632","","","survey-likert","11","54043","0.0-2.0-1.4","","{""Q0"":2}","[0]"
"1828.2999999973981","<div style=""font-size:45px;"">A  A  A  B  C  C  C  C  C  A  C  C  B  A  C  B  C  C      </div>","32","html-keyboard-response","12","55873","0.0-2.0-0.5","test","",""
"1375.834999998915","","","survey-likert","13","57750","0.0-2.0-1.5","","{""Q0"":7}","[0]"
"2285.4799999986426","<div style=""font-size:45px;"">B  A  B  C  B  B  C  C  A  C  C  A  A  C  A  C  B  C      </div>","32","html-keyboard-response","14","60037","0.0-2.0-0.6","test","",""
"2662.1899999991","","","survey-likert","15","63201","0.0-2.0-1.6","","{""Q0"":7}","[0]"
"654.8750000001746","<div style=""font-size:45px;"">A  A  A  A  B  A                                          </div>","32","html-keyboard-response","16","63858","0.0-2.0-0.7","test","",""
"1022.5749999990512","","","survey-likert","17","65386","0.0-2.0-1.7","","{""Q0"":4}","[0]"
"270.01000000018394","<div style=""font-size:45px;"">B  C  A  C  B  B  B  C  B  B  B  B  C  C                  </div>","32","html-keyboard-response","18","65658","0.0-2.0-0.8","test","",""
"2032.3199999984354","","","survey-likert","19","68193","0.0-2.0-1.8","","{""Q0"":2}","[0]"
"99627.28000000061","<div style=""font-size:45px;"">B  C  B  B                                                </div>","32","html-keyboard-response","20","167824","0.0-2.0-0.9","test","",""
"2265.06000000154","","","survey-likert","21","170592","0.0-2.0-1.9","","{""Q0"":4}","[0]"
"5246.494999999413","<div style=""font-size:45px;"">B  A  C  B  C  B  A  B                                    </div>","32","html-keyboard-response","22","175841","0.0-2.0-0.10","test","",""
"2248.3549999997194","","","survey-likert","23","178596","0.0-2.0-1.10","","{""Q0"":6}","[0]"
"829.6000000009371","<div style=""font-size:45px;"">C  A  C  C  A  C  C  A  C  C                              </div>","32","html-keyboard-response","24","179427","0.0-2.0-0.11","test","",""
"1220.1349999995728","","","survey-likert","25","181149","0.0-2.0-1.11","","{""Q0"":2}","[0]"
"370.8150000020396","<div style=""font-size:45px;"">A  A  B  A  A  C  C  C  B  C  C  C  C  C                  </div>","32","html-keyboard-response","26","181521","0.0-2.0-0.12","test","",""
"22998.87999999919","","","survey-likert","27","205027","0.0-2.0-1.12","","{""Q0"":3}","[0]"
"784.1650000009395","<div style=""font-size:45px;"">B  B  B  A  C  C  B  B  C  A  B  C  B  C                  </div>","32","html-keyboard-response","28","205814","0.0-2.0-0.13","test","",""
"2530.064999999013","","","survey-likert","29","208849","0.0-2.0-1.13","","{""Q0"":7}","[0]"
"5863.874999999098","<div style=""font-size:45px;"">A  A  B  A                                                </div>","32","html-keyboard-response","30","214714","0.0-2.0-0.14","test","",""
"1428.489999998419","","","survey-likert","31","216647","0.0-2.0-1.14","","{""Q0"":5}","[0]"
"452.1000000022468","<div style=""font-size:45px;"">B  C  A  A  C  A  B  A                                    </div>","32","html-keyboard-response","32","217101","0.0-2.0-0.15","test","",""
"1671.2600000028033","","","survey-likert","33","219274","0.0-2.0-1.15","","{""Q0"":4}","[0]"
