"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","responses","question_order"
"4750.000000000001","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","32","html-keyboard-response","0","4753","0.0-0.0","","",""
"2132","<p>This session will last for 10min.</p><p> In each trial, you will see a sequence consisting A's, B's and/or C's. </p> <p> After seeing the sequence, press any key, and you will be asked </p> <p> to judge how likely it is that the sequence came from a random process. </p><p> Each sequence is independent from one another. </p>","32","html-keyboard-response","1","6887","0.0-1.0","","",""
"1920","<div style=""font-size:45px;"">A  B  B  A  C  B  C  C  C  C  B  B  A  C                  </div>","32","html-keyboard-response","2","9809","0.0-2.0-0.0","test","",""
"3267","","","survey-likert","3","13580","0.0-2.0-1.0","","{""Q0"":8}","[0]"
"1710","<div style=""font-size:45px;"">B  A  B  A  B  A  B  A  A  A                              </div>","32","html-keyboard-response","4","15291","0.0-2.0-0.1","test","",""
"1350.0000000000036","","","survey-likert","5","17143","0.0-2.0-1.1","","{""Q0"":4}","[0]"
"468","<div style=""font-size:45px;"">C  C  C  C  C  C  C  C  C  C  C  C                        </div>","32","html-keyboard-response","6","17614","0.0-2.0-0.2","test","",""
"1402.0000000000036","","","survey-likert","7","19518","0.0-2.0-1.2","","{""Q0"":1}","[0]"
"465","<div style=""font-size:45px;"">C  C  C  C  C  A  A  A  A  B                              </div>","32","html-keyboard-response","8","19984","0.0-2.0-0.3","test","",""
"1224.9999999999964","","","survey-likert","9","21712","0.0-2.0-1.3","","{""Q0"":2}","[0]"
"340.00000000000364","<div style=""font-size:45px;"">B  B  B  A                                                </div>","32","html-keyboard-response","10","22053","0.0-2.0-0.4","test","",""
"1382","","","survey-likert","11","23937","0.0-2.0-1.4","","{""Q0"":5}","[0]"
"391","<div style=""font-size:45px;"">A  B  B  A  B  B  A  B                                    </div>","32","html-keyboard-response","12","24332","0.0-2.0-0.5","test","",""
"2141","","","survey-likert","13","26974","0.0-2.0-1.5","","{""Q0"":2}","[0]"
"620","<div style=""font-size:45px;"">B  C  B  B  B  B                                          </div>","32","html-keyboard-response","14","27596","0.0-2.0-0.6","test","",""
"1568","","","survey-likert","15","29667","0.0-2.0-1.6","","{""Q0"":2}","[0]"
"1106","<div style=""font-size:45px;"">C  B  C  C  B  C  C  A  B  A                              </div>","32","html-keyboard-response","16","30776","0.0-2.0-0.7","test","",""
"2122.9999999999964","","","survey-likert","17","33400","0.0-2.0-1.7","","{""Q0"":6}","[0]"
"1317","<div style=""font-size:45px;"">B  C  A  C  B  B  B  C  B  B  B  B  C  C                  </div>","32","html-keyboard-response","18","34719","0.0-2.0-0.8","test","",""
