"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","test_part","next_elem","responses","question_order"
"52135","<p>Hi! Thanks so much for participating in our experiment! </p><p>Press any key to continue</p>","0","html-button-response","0","52139","0.0-0.0","","","","",""
"5500.999999999993","<p>This session will last for 15min.</p><p> In each trial, you will see some symbols appearing one-by-one </p><p> and you will be asked to stop the sequence whenever you can answer some questions (more on this later). </p><p> Each sequence is independent from one another. </p><p> You will be paid extra based on the overall number of correct responses you give. </p><p> <br /> We will try this on some examples before we move on to the actual experiment: </p>","0","html-button-response","1","57644","0.0-1.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","2","59451","0.0-2.0-0.0-0.0","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","3","60554","0.0-2.0-0.0-0.1","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","4","61658","0.0-2.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","5","62762","0.0-2.0-0.0-0.3","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","6","63866","0.0-2.0-0.0-0.4","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","7","64969","0.0-2.0-0.0-0.5","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","8","66073","0.0-2.0-0.0-0.6","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","9","67176","0.0-2.0-0.0-0.7","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","10","68280","0.0-2.0-0.0-0.8","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","11","69384","0.0-2.0-0.0-0.9","null","training","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","12","70488","0.0-2.0-0.0-0.10","null","training","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","13","71591","0.0-2.0-0.0-0.11","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","14","72695","0.0-2.0-0.0-0.12","null","training","B","",""
"625","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","15","73623","0.0-2.0-0.0-0.13","32","training","C","",""
"null","","","html-keyboard-response","16","73926","0.0-2.0-0.0-0.14","null","training","A","",""
"5606","","","survey-likert","17","79534","0.0-2.0-1.0","","","","{""Q0"":9}","[0]"
"13262","","","survey-multi-choice","18","92798","0.0-2.0-2.0","","","","{""Q0"":""A, B, and C, are all equally likely""}","[0]"
"6477","Incorrect! + $0<p> The correct choice was: C","0","html-button-response","19","99277","0.0-2.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","20","100082","0.0-3.0-0.0-0.0","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","21","101186","0.0-3.0-0.0-0.1","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","22","102288","0.0-3.0-0.0-0.2","null","training","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","23","103392","0.0-3.0-0.0-0.3","null","training","A","",""
"343","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","24","104038","0.0-3.0-0.0-0.4","32","training","A","",""
"null","","","html-keyboard-response","25","104341","0.0-3.0-0.0-0.5","null","training","A","",""
"3276.0000000000146","","","survey-likert","26","107619","0.0-3.0-1.0","","","","{""Q0"":9}","[0]"
"1919.9999999999854","","","survey-multi-choice","27","109542","0.0-3.0-2.0","","","","{""Q0"":""A""}","[0]"
"766","Correct! + $1","0","html-button-response","28","110310","0.0-3.0-3.0","","","","",""
"920","<p> You are now ready to proceed with the actual experiment </p>","0","html-button-response","29","111234","0.0-4.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","30","112037","0.0-5.0-0.0-0.0","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","31","113140","0.0-5.0-0.0-0.1","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","32","114243","0.0-5.0-0.0-0.2","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","33","115345","0.0-5.0-0.0-0.3","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","34","116448","0.0-5.0-0.0-0.4","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","35","117552","0.0-5.0-0.0-0.5","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","36","118655","0.0-5.0-0.0-0.6","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","37","119760","0.0-5.0-0.0-0.7","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","38","120862","0.0-5.0-0.0-0.8","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","39","121966","0.0-5.0-0.0-0.9","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","40","123069","0.0-5.0-0.0-0.10","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","41","124172","0.0-5.0-0.0-0.11","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","42","125275","0.0-5.0-0.0-0.12","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","43","126379","0.0-5.0-0.0-0.13","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","44","127483","0.0-5.0-0.0-0.14","null","test","A","",""
