B,A,B,B,C,A,B,B,C,C,B,C,C,B,C,C,B,C,C,B
B,A,C,B,A,C,B,A,C,B,A,C,B,A,C,B,A,C,B,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,B,C,B,C,B,C,B,C,B,C,B,C,B,C,C,C,C,C,C
C,C,C,C,C,A,A,A,A,A,A,A,A,A,C,B,C,B,C,B
C,C,C,C,A,C,B,C,B,C,B,C,B,C,B,C,B,C,B,C
C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
B,B,C,C,C,C,C,C,C,C,A,C,B,A,B,A,B,A,B,A
B,B,B,A,A,A,C,B,B,C,B,B,C,A,A,B,C,A,B,B
A,C,A,B,B,A,B,A,A,C,A,B,A,C,A,B,B,C,A,A
C,B,A,C,C,C,B,C,A,C,A,C,A,B,C,A,C,B,B,C
C,A,B,C,A,B,C,A,B,C,A,B,B,B,B,B,B,B,B,B
B,C,B,C,B,C,B,C,B,C,B,C,B,C,A,B,A,A,B,A
C,B,C,C,B,C,C,B,C,C,B,C,C,B,C,C,B,C,C,B
